HGNC.symbol,MGI.symbol,HGNC.symbol,Chromosome.scaffold.name,Gene.start..bp.
JAZF1,Jazf1,JAZF1,6,52768797
JARID2,Jarid2,JARID2,13,44729474
JAM3,Jam3,JAM3,9,27097384
JAM2,Jam2,JAM2,16,84774123
JAKMIP3,Jakmip3,JAKMIP3,7,138940730
JAKMIP2,Jakmip2,JAKMIP2,18,43531408
JAKMIP1,Jakmip1,JAKMIP1,5,37028335
JAK3,Jak3,JAK3,8,71676296
JAK2,Jak2,JAK2,19,29251828
JAK1,Jak1,JAK1,4,101152367
JAGN1,Jagn1,JAGN1,6,113442569
JAG2,Jag2,JAG2,12,112907819
JAG1,Jag1,JAG1,2,137081456
JADE3,Jade3,JADE3,X,20425688
JADE2,Jade2,JADE2,11,51813455
JADE1,Jade1,JADE1,3,41555731
IZUMO4,Izumo4,IZUMO4,10,80702184
IZUMO3,Izumo3,IZUMO3,4,92144329
IZUMO2,Izumo2,IZUMO2,7,44708742
IZUMO1R,Izumo1r,IZUMO1R,9,14885814
IZUMO1,Izumo1,IZUMO1,7,45621811
IYD,Iyd,IYD,10,3540240
IWS1,Iws1,IWS1,18,32067741
IVNS1ABP,Ivns1abp,IVNS1ABP,1,151344477
IVD,Ivd,IVD,2,118861954
ITSN2,Itsn2,ITSN2,12,4592638
ITSN1,Itsn1,ITSN1,16,91729281
ITPRIPL2,Itpripl2,ITPRIPL2,7,118485111
ITPRIPL1,Itpripl1,ITPRIPL1,2,127138772
ITPR3,Itpr3,ITPR3,17,27057304
ITPR2,Itpr2,ITPR2,6,146108299
ITPR1,Itpr1,ITPR1,6,108213096
ITPKC,Itpkc,ITPKC,7,27207172
ITPKB,Itpkb,ITPKB,1,180330485
ITPKA,Itpka,ITPKA,2,119742337
ITPK1,Itpk1,ITPK1,12,102568582
ITPA,Itpa,ITPA,2,130667610
ITM2C,Itm2c,ITM2C,1,85894281
ITM2B,Itm2b,ITM2B,14,73362226
ITM2A,Itm2a,ITM2A,X,107397099
ITLN1,Itln1,ITLN1,1,171518122
ITK,Itk,ITK,11,46325150
ITIH5,Itih5,ITIH5,2,10153571
ITIH4,Itih4,ITIH4,14,30886476
ITIH3,Itih3,ITIH3,14,30908572
ITIH2,Itih2,ITIH2,2,10094593
ITIH1,Itih1,ITIH1,14,30929180
ITGBL1,Itgbl1,ITGBL1,14,123659971
ITGB8,Itgb8,ITGB8,12,119158022
ITGB7,Itgb7,ITGB7,15,102215995
ITGB6,Itgb6,ITGB6,2,60598292
ITGB5,Itgb5,ITGB5,16,33829665
ITGB4,Itgb4,ITGB4,11,115974709
ITGB3BP,Itgb3bp,ITGB3BP,4,99765402
ITGB3,Itgb3,ITGB3,11,104608000
ITGB2,Itgb2l,ITGB2,16,96422288
ITGB2,Itgb2,ITGB2,10,77530252
ITGB1BP2,Itgb1bp2,ITGB1BP2,X,101449088
ITGB1BP1,Itgb1bp1,ITGB1BP1,12,21240825
ITGB1,Itgb1,ITGB1,8,128685654
ITGAX,Itgax,ITGAX,7,128129547
ITGAV,Itgav,ITGAV,2,83724397
ITGAM,Itgam,ITGAM,7,128062640
ITGAL,Itgal,ITGAL,7,127296260
ITGAE,Itgae,ITGAE,11,73090583
ITGAD,Itgad,ITGAD,7,128154376
ITGA9,Itga9,ITGA9,9,118606690
ITGA8,Itga8,ITGA8,2,12106632
ITGA7,Itga7,ITGA7,10,128933818
ITGA6,Itga6,ITGA6,2,71745616
ITGA5,Itga5,ITGA5,15,103344286
ITGA4,Itga4,ITGA4,2,79255426
ITGA3,Itga3,ITGA3,11,95044474
ITGA2B,Itga2b,ITGA2B,11,102453297
ITGA2,Itga2,ITGA2,13,114833081
ITGA11,Itga11,ITGA11,9,62677826
ITGA10,Itga10,ITGA10,3,96645584
ITGA1,Itga1,ITGA1,13,114953096
ITFG2,Itfg2,ITFG2,6,128409444
ITFG1,Itfg1,ITFG1,8,85717578
ITCH,Itch,ITCH,2,155133509
ISYNA1,Isyna1,ISYNA1,8,70594373
ISY1,Isy1,ISY1,6,87814269
ISY1-RAB43,Isy1,ISY1-RAB43,6,87814269
ISX,Isx,ISX,8,74873173
IST1,Ist1,IST1,8,109671325
ISPD,Ispd,ISPD,12,36381450
ISOC2,Isoc2b,ISOC2,7,4844959
ISOC2,Isoc2a,ISOC2,7,4877153
ISOC1,Isoc1,ISOC1,18,58659482
ISM2,Ism2,ISM2,12,87278638
ISM1,Ism1,ISM1,2,139678178
ISLR2,Islr2,ISLR2,9,58196297
ISLR,Islr,ISLR,9,58156268
ISL2,Isl2,ISL2,9,55538672
ISL1,Isl1,ISL1,13,116298281
ISG20L2,Isg20l2,ISG20L2,3,87930314
ISG20,Isg20,ISG20,7,78913424
ISG15,Isg15,ISG15,4,156199424
ISCU,Iscu,ISCU,5,113772748
ISCA2,Isca2,ISCA2,12,84773251
ISCA1,Isca1,ISCA1,13,59755409
IRX6,Irx6,IRX6,8,92674288
IRX5,Irx5,IRX5,8,92357625
IRX4,Irx4,IRX4,13,73260479
IRX3,Irx3,IRX3,8,91798525
IRX2,Irx2,IRX2,13,72628820
IRX1,Irx1,IRX1,13,71957921
IRS4,Irs4,IRS4,X,141710998
IRS2,Irs2,IRS2,8,10984681
IRS1,Irs1,IRS1,1,82233101
IRGQ,Irgq,IRGQ,7,24530689
IRGM,Irgm2,IRGM,11,58199618
IRGM,Irgm1,IRGM,11,48861968
IRGC,Irgc1,IRGC,7,24431922
IRF9,Irf9,IRF9,14,55603571
IRF8,Irf8,IRF8,8,120736358
IRF7,Irf7,IRF7,7,141262706
IRF6,Irf6,IRF6,1,193153111
IRF5,Irf5,IRF5,6,29526625
IRF4,Irf4,IRF4,13,30749226
IRF3,Irf3,IRF3,7,44997648
IRF2BPL,Irf2bpl,IRF2BPL,12,86880701
IRF2BP2,Irf2bp2,IRF2BP2,8,126588296
IRF2BP1,Irf2bp1,IRF2BP1,7,19004044
IRF2,Irf2,IRF2,8,46739732
IRF1,Irf1,IRF1,11,53770014
IREB2,Ireb2,IREB2,9,54863789
IRAK4,Irak4,IRAK4,15,94543643
IRAK3,Irak3,IRAK3,10,120141648
IRAK2,Irak2,IRAK2,6,113638467
IRAK1BP1,Irak1bp1,IRAK1BP1,9,82829540
IRAK1,Irak1,IRAK1,X,74013914
IQUB,Iqub,IQUB,6,24444865
IQSEC3,Iqsec3,IQSEC3,6,121372933
IQSEC2,Iqsec2,IQSEC2,X,152144268
IQSEC1,Iqsec1,IQSEC1,6,90656088
SCHIP1,Iqschfp,SCHIP1,3,67892232
IQGAP3,Iqgap3,IQGAP3,3,88081971
IQGAP2,Iqgap2,IQGAP2,13,95627177
IQGAP1,Iqgap1,IQGAP1,7,80711583
IQCM,Iqcm,IQCM,8,75448694
IQCK,Iqck,IQCK,7,118855752
IQCJ,Iqcj,IQCJ,3,67892220
IQCH,Iqch,IQCH,9,63421455
IQCG,Iqcg,IQCG,16,33012683
IQCF6,Iqcf6,IQCF6,9,106626582
IQCF5,Iqcf5,IQCF5,9,106514573
IQCF2,Iqcf3,IQCF2,9,106503225
IQCF1,Iqcf1,IQCF1,9,106499967
IQCD,Iqcd,IQCD,5,120589016
IQCC,Iqcc,IQCC,4,129615126
IQCB1,Iqcb1,IQCB1,16,36828385
IQCA1,Iqca,IQCA1,1,90042132
IPPK,Ippk,IPPK,13,49421249
IPP,Ipp,IPP,4,116507549
IPO9,Ipo9,IPO9,1,135382312
IPO8,Ipo8,IPO8,6,148770683
IPO7,Ipo7,IPO7,7,110018274
IPO5,Ipo5,IPO5,14,120911224
IPO4,Ipo4,IPO4,14,55625400
IPO13,Ipo13,IPO13,4,117894486
IPO11,Ipo11,IPO11,13,106794439
IPMK,Ipmk,IPMK,10,71347763
IPCEF1,Ipcef1,IPCEF1,10,6885796
IP6K3,Ip6k3,IP6K3,17,27143969
IP6K2,Ip6k2,IP6K2,9,108783796
IP6K1,Ip6k1,IP6K1,9,108002501
INVS,Invs,INVS,4,48279760
INTU,Intu,INTU,3,40531286
INTS9,Ints9,INTS9,14,64950045
INTS8,Ints8,INTS8,4,11199158
INTS7,Ints7,INTS7,1,191575636
INTS6L,Ints6l,INTS6L,X,56454857
INTS6,Ints6,INTS6,14,62676330
INTS5,Ints5,INTS5,19,8892987
INTS4,Ints4,INTS4,7,97480956
INTS3,Ints3,INTS3,3,90391388
INTS2,Ints2,INTS2,11,86210681
INTS14,Ints14,INTS14,9,64960905
INTS13,Ints13,INTS13,6,146549632
INTS12,Ints12,INTS12,3,133091840
INTS11,Ints11,INTS11,4,155869546
INTS10,Ints10,INTS10,8,68793929
INTS1,Ints1,INTS1,5,139751282
INSRR,Insrr,INSRR,3,87796951
INSR,Insr,INSR,8,3122061
INSM2,Insm2,INSM2,12,55599427
INSM1,Insm1,INSM1,2,146221921
INSL6,Insl6,INSL6,19,29321344
INSL5,Insl5,INSL5,4,103017872
INSIG2,Insig2,INSIG2,1,121304353
INSIG1,Insig1,INSIG1,5,28071363
INSC,Insc,INSC,7,114743694
INS,Ins2,INS,7,142678656
INS,Ins1,INS,19,52264323
INPPL1,Inppl1,INPPL1,7,101822632
INPP5K,Inpp5k,INPP5K,11,75630988
INPP5J,Inpp5j,INPP5J,11,3494375
INPP5F,Inpp5f,INPP5F,7,128611328
INPP5E,Inpp5e,INPP5E,2,26396249
INPP5D,Inpp5d,INPP5D,1,87620312
INPP5B,Inpp5b,INPP5B,4,124741850
INPP5A,Inpp5a,INPP5A,7,139389109
INPP4B,Inpp4b,INPP4B,8,81342556
INPP4A,Inpp4a,INPP4A,1,37299865
INPP1,Inpp1,INPP1,1,52785427
INO80E,Ino80e,INO80E,7,126850960
INO80D,Ino80d,INO80D,1,62958418
INO80C,Ino80c,INO80C,18,24104757
INO80B,Ino80b,INO80B,6,83121765
INO80B-WBP1,Ino80b,INO80B-WBP1,6,83121765
INO80,Ino80,INO80,2,119373042
INMT-MINDY4,Inmt,INMT-MINDY4,6,55170626
INMT,Inmt,INMT,6,55170626
INIP,Inip,INIP,4,59769637
INHBE,Inhbe,INHBE,10,127348857
INHBC,Inhbc,INHBC,10,127356322
INHBB,Inhbb,INHBB,1,119415465
INHBA,Inhba,INHBA,13,16011851
INHA,Inha,INHA,1,75507077
ING5,Ing5,ING5,1,93803965
ING4,Ing4,ING4,6,125039760
ING3,Ing3,ING3,6,21949571
ING2,Ing2,ING2,8,47667178
ING1,Ing1,ING1,8,11555571
INF2,Inf2,INF2,12,112588784
INCENP,Incenp,INCENP,19,9872297
INCA1,Inca1,INCA1,11,70688361
INAVA,Inava,INAVA,1,136213531
INAFM2,Inafm2,INAFM2,2,118745758
INAFM1,Inafm1,INAFM1,7,16272013
INA,Ina,INA,19,47014698
IMPG2,Impg2,IMPG2,16,56204313
IMPG1,Impg1,IMPG1,9,80313330
IMPDH2,Impdh2,IMPDH2,9,108560286
IMPDH1,Impdh1,IMPDH1,6,29200434
IMPAD1,Impad1,IMPAD1,4,4762484
IMPACT,Impact,IMPACT,18,12955852
IMPA2,Impa2,IMPA2,18,67289253
IMPA1,Impa1,IMPA1,3,10311956
IMP4,Imp4,IMP4,1,34439851
IMP3,Imp3,IMP3,9,56937475
IMMT,Immt,IMMT,6,71831331
IMMP2L,Immp2l,IMMP2L,12,41024090
IMMP1L,Immp1l,IMMP1L,2,105904638
ILVBL,Ilvbl,ILVBL,10,78574346
IL22,Iltifb,IL22,10,118289629
ILKAP,Ilkap,ILKAP,1,91373861
ILK,Ilk,ILK,7,105736592
ILF3,Ilf3,ILF3,9,21367871
ILF2,Ilf2,ILF2,3,90476126
ILDR2,Ildr2,ILDR2,1,166254139
ILDR1,Ildr1,ILDR1,16,36693978
IL9R,Il9r,IL9R,11,32187541
IL9,Il9,IL9,13,56479277
IL7R,Il7r,IL7R,15,9505788
IL7,Il7,IL7,3,7569994
IL6ST,Il6st,IL6ST,13,112464070
IL6R,Il6ra,IL6R,3,89864059
IL6,Il6,IL6,5,30013114
IL5RA,Il5ra,IL5RA,6,106710357
IL5,Il5,IL5,11,53720794
IL4R,Il4ra,IL4R,7,125552120
IL4I1,Il4i1,IL4I1,7,44816387
IL4,Il4,IL4,11,53602982
IL34,Il34,IL34,8,110741829
IL33,Il33,IL33,19,29925114
IL31RA,Il31ra,IL31RA,13,112519898
IL31,Il31,IL31,5,123480157
IL3,Il3,IL3,11,54265303
IL2RG,Il2rg,IL2RG,X,101264378
IL2RB,Il2rb,IL2RB,15,78479256
IL2RA,Il2ra,IL2RA,2,11642807
IL27RA,Il27ra,IL27RA,8,84030294
IL27,Il27,IL27,7,126589010
IL25,Il25,IL25,14,54932695
IL24,Il24,IL24,1,130882074
IL23R,Il23r,IL23R,6,67422932
IL23A,Il23a,IL23A,10,128296139
IL22RA2,Il22ra2,IL22RA2,10,19621998
IL22RA1,Il22ra1,IL22RA1,4,135728172
IL22,Il22,IL22,10,118204942
IL21R,Il21r,IL21R,7,125603429
IL21,Il21,IL21,3,37222759
IL20RB,Il20rb,IL20RB,9,100457719
IL20RA,Il20ra,IL20RA,10,19712570
IL20,Il20,IL20,1,130906985
IL2,Il2,IL2,3,37120523
IL1RN,Il1rn,IL1RN,2,24336853
IL1RL2,Il1rl2,IL1RL2,1,40324610
IL1RL1,Il1rl1,IL1RL1,1,40429570
IL1RAPL2,Il1rapl2,IL1RAPL2,X,137570608
IL1RAPL1,Il1rapl1,IL1RAPL1,X,86740870
IL1RAP,Il1rap,IL1RAP,16,26581704
IL1R2,Il1r2,IL1R2,1,40074079
IL1R1,Il1r1,IL1R1,1,40225080
IL36G,Il1f9,IL36G,2,24186476
IL36B,Il1f8,IL36B,2,24153161
IL36A,Il1f6,IL36A,2,24215418
IL36RN,Il1f5,IL36RN,2,24276954
IL1F10,Il1f10,IL1F10,2,24291196
IL1B,Il1b,IL1B,2,129364570
IL1A,Il1a,IL1A,2,129299610
IL19,Il19,IL19,1,130932656
IL18RAP,Il18rap,IL18RAP,1,40515362
IL18R1,Il18r1,IL18R1,1,40465552
IL18BP,Il18bp,IL18BP,7,102014885
IL18,Il18,IL18,9,50554827
IL17RE,Il17re,IL17RE,6,113458484
IL17RD,Il17rd,IL17RD,14,27038941
IL17RC,Il17rc,IL17RC,6,113471427
IL17RB,Il17rb,IL17RB,14,29996135
IL17RA,Il17ra,IL17RA,6,120463247
IL17F,Il17f,IL17F,1,20777146
IL17D,Il17d,IL17D,14,57524777
IL17C,Il17c,IL17C,8,122422020
IL17B,Il17b,IL17B,18,61687935
IL17A,Il17a,IL17A,1,20730905
IL16,Il16,IL16,7,83642825
IL15RA,Il15ra,IL15RA,2,11705290
IL15,Il15,IL15,8,82331632
IL13RA2,Il13ra2,IL13RA2,X,147383476
IL13RA1,Il13ra1,IL13RA1,X,36112110
IL13,Il13,IL13,11,53631324
IL12RB2,Il12rb2,IL12RB2,6,67291318
IL12RB1,Il12rb1,IL12RB1,8,70808449
IL12B,Il12b,IL12B,11,44400063
IL12A,Il12a,IL12A,3,68690644
IL11RA,Il11ra2,IL11RA,JH584293.1,10948
IL11RA,Il11ra2,IL11RA,JH584294.1,4164
IL11RA,Il11ra2,IL11RA,4,42656355
IL11RA,Il11ra1,IL11RA,4,41699989
IL11,Il11,IL11,7,4772373
IL10RB,Il10rb,IL10RB,16,91406164
IL10RA,Il10ra,IL10RA,9,45253837
IL10,Il10,IL10,1,131019845
IKZF5,Ikzf5,IKZF5,7,131388652
IKZF4,Ikzf4,IKZF4,10,128630843
IKZF3,Ikzf3,IKZF3,11,98464902
IKZF2,Ikzf2,IKZF2,1,69531214
IKZF1,Ikzf1,IKZF1,11,11685003
IKBKG,Ikbkg,IKBKG,X,74393290
IKBKE,Ikbke,IKBKE,1,131254343
IKBKB,Ikbkb,IKBKB,8,22659212
IKBIP,Ikbip,IKBIP,10,91082940
IK,Ik,IK,18,36744656
IHH,Ihh,IHH,1,74945315
IRGM,Igtp,IRGM,11,58199556
IGSF9B,Igsf9b,IGSF9B,9,27299204
IGSF9,Igsf9,IGSF9,1,172481788
IGSF8,Igsf8,IGSF8,1,172261641
IGSF6,Igsf6,IGSF6,7,121064067
IGSF3,Igsf3,IGSF3,3,101377083
IGSF23,Igsf23,IGSF23,7,19937305
IGSF21,Igsf21,IGSF21,4,140026846
IGSF11,Igsf11,IGSF11,16,38892671
IGSF10,Igsf10,IGSF10,3,59316735
IGSF1,Igsf1,IGSF1,X,49782536
IGLV4-60,Iglv3,IGLV4-60,16,19241207
IGLV4-69,Iglv3,IGLV4-69,16,19241207
IGLON5,Iglon5,IGLON5,7,43472904
IGLC3,Iglc4,IGLC3,16,19194999
IGLC1,Iglc4,IGLC1,16,19194999
IGLC7,Iglc4,IGLC7,16,19194999
IGLL5,Iglc4,IGLL5,16,19194999
IGLL1,Iglc4,IGLL1,16,19194999
IGLC2,Iglc4,IGLC2,16,19194999
IGLC3,Iglc3,IGLC3,16,19065230
IGLC1,Iglc3,IGLC1,16,19065230
IGLC7,Iglc3,IGLC7,16,19065230
IGLL5,Iglc3,IGLL5,16,19065230
IGLL1,Iglc3,IGLL1,16,19065230
IGLC2,Iglc3,IGLC2,16,19065230
IGLC3,Iglc2,IGLC3,16,19198396
IGLC1,Iglc2,IGLC1,16,19198396
IGLC7,Iglc2,IGLC7,16,19198396
IGLL5,Iglc2,IGLL5,16,19198396
IGLL1,Iglc2,IGLL1,16,19198396
IGLC2,Iglc2,IGLC2,16,19198396
IGLC3,Iglc1,IGLC3,16,19061618
IGLC1,Iglc1,IGLC1,16,19061618
IGLC7,Iglc1,IGLC7,16,19061618
IGLL5,Iglc1,IGLL5,16,19061618
IGLL1,Iglc1,IGLL1,16,19061618
IGLC2,Iglc1,IGLC2,16,19061618
IGKV4-1,Igkv8-34,IGKV4-1,6,70044112
IGKV4-1,Igkv8-30,IGKV4-1,6,70117061
IGKV4-1,Igkv8-28,IGKV4-1,6,70143593
IGKV4-1,Igkv8-27,IGKV4-1,6,70171809
IGKV4-1,Igkv8-26,IGKV4-1,6,70193228
IGKV4-1,Igkv8-24,IGKV4-1,6,70216858
IGKV4-1,Igkv8-21,IGKV4-1,6,70314895
IGKV4-1,Igkv8-19,IGKV4-1,6,70340876
IGKV4-1,Igkv8-18,IGKV4-1,6,70355852
IGKV4-1,Igkv8-16,IGKV4-1,6,70386672
IGKV4-1,Igkv7-33,IGKV4-1,6,70058632
IGKV4-1,Igkv6-32,IGKV4-1,6,70074024
IGKV4-1,Igkv6-29,IGKV4-1,6,70138462
IGKV4-1,Igkv6-25,IGKV4-1,6,70215400
IGKV4-1,Igkv6-23,IGKV4-1,6,70260409
IGKV4-1,Igkv6-20,IGKV4-1,6,70335841
IGKV4-1,Igkv6-17,IGKV4-1,6,70371439
IGKV4-1,Igkv6-15,IGKV4-1,6,70406469
IGKV4-1,Igkv6-14,IGKV4-1,6,70434952
IGKV4-1,Igkv6-13,IGKV4-1,6,70457501
IGKV6D-41,Igkv5-48,IGKV6D-41,6,69726573
IGKV6-21,Igkv5-48,IGKV6-21,6,69726573
IGKV6D-21,Igkv5-48,IGKV6D-21,6,69726573
IGKV6D-41,Igkv5-45,IGKV6D-41,6,69775750
IGKV6-21,Igkv5-45,IGKV6-21,6,69775750
IGKV6D-21,Igkv5-45,IGKV6D-21,6,69775750
IGKV6D-41,Igkv5-43,IGKV6D-41,6,69823355
IGKV6-21,Igkv5-43,IGKV6-21,6,69823355
IGKV6D-21,Igkv5-43,IGKV6D-21,6,69823355
IGKV6D-41,Igkv5-39,IGKV6D-41,6,69900424
IGKV6-21,Igkv5-39,IGKV6-21,6,69900424
IGKV6D-21,Igkv5-39,IGKV6D-21,6,69900424
IGKV6D-41,Igkv5-37,IGKV6D-41,6,69963312
IGKV6-21,Igkv5-37,IGKV6-21,6,69963312
IGKV6D-21,Igkv5-37,IGKV6D-21,6,69963312
IGKV2D-30,Igkv2-137,IGKV2D-30,6,67555497
IGKV2-30,Igkv2-137,IGKV2-30,6,67555497
IGKV2D-30,Igkv2-112,IGKV2D-30,6,68219981
IGKV2-30,Igkv2-112,IGKV2-30,6,68219981
IGKV1OR2-108,Igkv20-101-2,IGKV1OR2-108,6,68474613
IGKV3D-15,Igkv18-36,IGKV3D-15,6,69992465
IGKV3-11,Igkv18-36,IGKV3-11,6,69992465
IGKV3D-11,Igkv18-36,IGKV3D-11,6,69992465
IGKV3D-7,Igkv18-36,IGKV3D-7,6,69992465
IGKV3D-20,Igkv18-36,IGKV3D-20,6,69992465
IGKV3OR2-268,Igkv18-36,IGKV3OR2-268,6,69992465
IGKV3-20,Igkv18-36,IGKV3-20,6,69992465
IGKV3-15,Igkv18-36,IGKV3-15,6,69992465
IGKV3-7,Igkv18-36,IGKV3-7,6,69992465
IGKV5-2,Igkv17-127,IGKV5-2,6,67861153
IGKV5-2,Igkv17-121,IGKV5-2,6,68036812
IGKV1D-13,Igkv16-104,IGKV1D-13,6,68425575
IGKV1D-17,Igkv16-104,IGKV1D-17,6,68425575
IGKV1D-16,Igkv16-104,IGKV1D-16,6,68425575
IGKV1-6,Igkv16-104,IGKV1-6,6,68425575
IGKV1D-37,Igkv16-104,IGKV1D-37,6,68425575
IGKV1-12,Igkv16-104,IGKV1-12,6,68425575
IGKV1D-43,Igkv16-104,IGKV1D-43,6,68425575
IGKV1D-12,Igkv16-104,IGKV1D-12,6,68425575
IGKV1-17,Igkv16-104,IGKV1-17,6,68425575
IGKV1-37,Igkv16-104,IGKV1-37,6,68425575
IGKV1-39,Igkv16-104,IGKV1-39,6,68425575
IGKV1D-8,Igkv16-104,IGKV1D-8,6,68425575
IGKV1-9,Igkv16-104,IGKV1-9,6,68425575
IGKV1-16,Igkv16-104,IGKV1-16,6,68425575
IGKV1-5,Igkv16-104,IGKV1-5,6,68425575
IGKV1D-42,Igkv16-104,IGKV1D-42,6,68425575
IGKV1D-39,Igkv16-104,IGKV1D-39,6,68425575
IGKV1-8,Igkv16-104,IGKV1-8,6,68425575
IGKV1D-13,Igkv15-103,IGKV1D-13,6,68437440
IGKV1D-17,Igkv15-103,IGKV1D-17,6,68437440
IGKV1D-16,Igkv15-103,IGKV1D-16,6,68437440
IGKV1-6,Igkv15-103,IGKV1-6,6,68437440
IGKV1D-37,Igkv15-103,IGKV1D-37,6,68437440
IGKV1-12,Igkv15-103,IGKV1-12,6,68437440
IGKV1D-43,Igkv15-103,IGKV1D-43,6,68437440
IGKV1D-12,Igkv15-103,IGKV1D-12,6,68437440
IGKV1-17,Igkv15-103,IGKV1-17,6,68437440
IGKV1-37,Igkv15-103,IGKV1-37,6,68437440
IGKV1-39,Igkv15-103,IGKV1-39,6,68437440
IGKV1D-8,Igkv15-103,IGKV1D-8,6,68437440
IGKV1-9,Igkv15-103,IGKV1-9,6,68437440
IGKV1-16,Igkv15-103,IGKV1-16,6,68437440
IGKV1-5,Igkv15-103,IGKV1-5,6,68437440
IGKV1D-42,Igkv15-103,IGKV1D-42,6,68437440
IGKV1D-39,Igkv15-103,IGKV1D-39,6,68437440
IGKV1-8,Igkv15-103,IGKV1-8,6,68437440
IGKV1-12,Igkv11-125,IGKV1-12,6,67913573
IGKV1-17,Igkv11-125,IGKV1-17,6,67913573
IGKV1D-39,Igkv11-125,IGKV1D-39,6,67913573
IGKV1D-16,Igkv11-125,IGKV1D-16,6,67913573
IGKV1-6,Igkv11-125,IGKV1-6,6,67913573
IGKV1D-37,Igkv11-125,IGKV1D-37,6,67913573
IGKV1-37,Igkv11-125,IGKV1-37,6,67913573
IGKV1D-12,Igkv11-125,IGKV1D-12,6,67913573
IGKV1D-13,Igkv11-125,IGKV1D-13,6,67913573
IGKV1-8,Igkv11-125,IGKV1-8,6,67913573
IGKV1-16,Igkv11-125,IGKV1-16,6,67913573
IGKV1-5,Igkv11-125,IGKV1-5,6,67913573
IGKV1-39,Igkv11-125,IGKV1-39,6,67913573
IGKV1-9,Igkv11-125,IGKV1-9,6,67913573
IGKV1D-8,Igkv11-125,IGKV1D-8,6,67913573
IGKV1D-42,Igkv11-125,IGKV1D-42,6,67913573
IGKV1D-43,Igkv11-125,IGKV1D-43,6,67913573
IGKV1D-17,Igkv11-125,IGKV1D-17,6,67913573
IGKC,Igkc,IGKC,6,70726435
IGIP,Igip,IGIP,18,36300101
IGHV7-81,Ighv9-4,IGHV7-81,12,114299961
IGHV7-81,Ighv9-3,IGHV7-81,12,114140692
IGHV7-81,Ighv9-2,IGHV7-81,12,114109001
IGHV7-81,Ighv9-1,IGHV7-81,12,114093928
IGHV2-5,Ighv8-9,IGHV2-5,12,115468332
IGHV2-26,Ighv8-9,IGHV2-26,12,115468332
IGHV2OR16-5,Ighv8-9,IGHV2OR16-5,12,115468332
IGHV2-70,Ighv8-9,IGHV2-70,12,115468332
IGHV2-5,Ighv8-8,IGHV2-5,12,115294062
IGHV2-26,Ighv8-8,IGHV2-26,12,115294062
IGHV2OR16-5,Ighv8-8,IGHV2OR16-5,12,115294062
IGHV2-70,Ighv8-8,IGHV2-70,12,115294062
IGHV2-5,Ighv8-6,IGHV2-5,12,115165777
IGHV2-26,Ighv8-6,IGHV2-26,12,115165777
IGHV2OR16-5,Ighv8-6,IGHV2OR16-5,12,115165777
IGHV2-70,Ighv8-6,IGHV2-70,12,115165777
IGHV2-5,Ighv8-5,IGHV2-5,12,115067560
IGHV2-26,Ighv8-5,IGHV2-26,12,115067560
IGHV2OR16-5,Ighv8-5,IGHV2OR16-5,12,115067560
IGHV2-70,Ighv8-5,IGHV2-70,12,115067560
IGHV2-5,Ighv8-4,IGHV2-5,12,115024026
IGHV2-26,Ighv8-4,IGHV2-26,12,115024026
IGHV2OR16-5,Ighv8-4,IGHV2OR16-5,12,115024026
IGHV2-70,Ighv8-4,IGHV2-70,12,115024026
IGHV2-5,Ighv8-2,IGHV2-5,12,114462291
IGHV2-26,Ighv8-2,IGHV2-26,12,114462291
IGHV2OR16-5,Ighv8-2,IGHV2OR16-5,12,114462291
IGHV2-70,Ighv8-2,IGHV2-70,12,114462291
IGHV2-5,Ighv8-13,IGHV2-5,12,115765333
IGHV2-26,Ighv8-13,IGHV2-26,12,115765333
IGHV2OR16-5,Ighv8-13,IGHV2OR16-5,12,115765333
IGHV2-70,Ighv8-13,IGHV2-70,12,115765333
IGHV2-5,Ighv8-12,IGHV2-5,12,115647945
IGHV2-26,Ighv8-12,IGHV2-26,12,115647945
IGHV2OR16-5,Ighv8-12,IGHV2OR16-5,12,115647945
IGHV2-70,Ighv8-12,IGHV2-70,12,115647945
IGHV2-5,Ighv8-11,IGHV2-5,12,115567149
IGHV2-26,Ighv8-11,IGHV2-26,12,115567149
IGHV2OR16-5,Ighv8-11,IGHV2OR16-5,12,115567149
IGHV2-70,Ighv8-11,IGHV2-70,12,115567149
IGHV3-49,Ighv7-4,IGHV3-49,12,114222788
IGHV3-49,Ighv7-3,IGHV3-49,12,114153180
IGHV3-49,Ighv7-2,IGHV3-49,12,113912025
IGHV3-49,Ighv7-1,IGHV3-49,12,113896408
IGHV3-49,Ighv6-7,IGHV3-49,12,114455626
IGHV3-49,Ighv6-6,IGHV3-49,12,114434788
IGHV3-49,Ighv6-5,IGHV3-49,12,114416596
IGHV3-49,Ighv6-4,IGHV3-49,12,114406474
IGHV3-49,Ighv6-3,IGHV3-49,12,114391712
IGHV6-1,Ighv3-8,IGHV6-1,12,114322327
IGHV6-1,Ighv3-6,IGHV6-1,12,114288152
IGHV6-1,Ighv3-5,IGHV6-1,12,114262652
IGHV6-1,Ighv3-4,IGHV6-1,12,114253617
IGHV6-1,Ighv3-3,IGHV6-1,12,114196439
IGHV6-1,Ighv3-1,IGHV6-1,12,113964388
IGHV1-18,Ighv1-9,IGHV1-18,12,114583569
IGHV1OR15-1,Ighv1-9,IGHV1OR15-1,12,114583569
