Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
KLF9,Kruppel Like Factor 9,Protein Coding,41,GC09M070384,0.91,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLF9
GIPR,Gastric Inhibitory Polypeptide Receptor,Protein Coding,51,GC19P045668,0.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GIPR
INHBB,Inhibin Subunit Beta B,Protein Coding,49,GC02P120347,0.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBB
IGFL3,IGF Like Family Member 3,Protein Coding,37,GC19M046120,0.88,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFL3
RXRA,Retinoid X Receptor Alpha,Protein Coding,56,GC09P134317,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RXRA
ENO1,Enolase 1,Protein Coding,53,GC01M008861,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENO1
ATF1,Activating Transcription Factor 1,Protein Coding,53,GC12P050763,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF1
PROP1,PROP Paired-Like Homeobox 1,Protein Coding,46,GC05M177992,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROP1
TRAPPC2,Trafficking Protein Particle Complex 2,Protein Coding,44,GC0XM013640,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2
LHB,Luteinizing Hormone Beta Polypeptide,Protein Coding,46,GC19M049015,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHB
STARD7,StAR Related Lipid Transfer Domain Containing 7,Protein Coding,41,GC02M096214,0.84,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD7
CFI,Complement Factor I,Protein Coding,53,GC04M109740,0.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFI
PPARGC1A,PPARG Coactivator 1 Alpha,Protein Coding,53,GC04M023755,0.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A
PCSK1,Proprotein Convertase Subtilisin/Kexin Type 1,Protein Coding,53,GC05M096391,0.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK1
SMAD1,SMAD Family Member 1,Protein Coding,50,GC04P145481,0.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD1
ARHGAP1,Rho GTPase Activating Protein 1,Protein Coding,48,GC11M055596,0.79,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGAP1
CCND1,Cyclin D1,Protein Coding,59,GC11P069641,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND1
HDAC2,Histone Deacetylase 2,Protein Coding,58,GC06M113933,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC2
CDKN1A,Cyclin Dependent Kinase Inhibitor 1A,Protein Coding,57,GC06P042554,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1A
BMPR1A,Bone Morphogenetic Protein Receptor Type 1A,Protein Coding,57,GC10P086756,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1A
GATA3,GATA Binding Protein 3,Protein Coding,56,GC10P008045,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA3
CDKN1B,Cyclin Dependent Kinase Inhibitor 1B,Protein Coding,55,GC12P012716,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1B
FOXO1,Forkhead Box O1,Protein Coding,54,GC13M040555,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXO1
DICER1,"Dicer 1, Ribonuclease III",Protein Coding,54,GC14M095086,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DICER1
ACADM,Acyl-CoA Dehydrogenase Medium Chain,Protein Coding,53,GC01P075724,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACADM
MUC1,"Mucin 1, Cell Surface Associated",Protein Coding,53,GC01M155158,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
SIN3A,SIN3 Transcription Regulator Family Member A,Protein Coding,52,GC15M075369,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIN3A
NR1I3,Nuclear Receptor Subfamily 1 Group I Member 3,Protein Coding,51,GC01M161199,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I3
GHRHR,Growth Hormone Releasing Hormone Receptor,Protein Coding,50,GC07P030978,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRHR
DAXX,Death Domain Associated Protein,Protein Coding,50,GC06M033318,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAXX
PIAS4,Protein Inhibitor Of Activated STAT 4,Protein Coding,49,GC19P004007,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS4
DNASE1,Deoxyribonuclease 1,Protein Coding,47,GC16P003611,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1
ZFPM1,"Zinc Finger Protein, FOG Family Member 1",Protein Coding,45,GC16P088519,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZFPM1
IFI27,Interferon Alpha Inducible Protein 27,Protein Coding,43,GC14P094104,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFI27
ZNF653,Zinc Finger Protein 653,Protein Coding,37,GC19M011483,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF653
EID1,EP300 Interacting Inhibitor Of Differentiation 1,Protein Coding,36,GC15P048877,0.73,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EID1
PRKCD,Protein Kinase C Delta,Protein Coding,61,GC03P053190,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKCD
NFKB1,Nuclear Factor Kappa B Subunit 1,Protein Coding,60,GC04P102501,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
NFKB2,Nuclear Factor Kappa B Subunit 2,Protein Coding,59,GC10P102394,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB2
HDAC4,Histone Deacetylase 4,Protein Coding,58,GC02M239048,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC4
CCND2,Cyclin D2,Protein Coding,57,GC12P005778,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCND2
THRB,Thyroid Hormone Receptor Beta,Protein Coding,57,GC03M024117,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THRB
SMARCA4,"SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily A, Member 4",Protein Coding,57,GC19P010932,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCA4
RORA,RAR Related Orphan Receptor A,Protein Coding,55,GC15M060488,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RORA
SMAD3,SMAD Family Member 3,Protein Coding,55,GC15P067063,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD3
GDNF,Glial Cell Derived Neurotrophic Factor,Protein Coding,54,GC05M037812,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GDNF
BDNF,Brain Derived Neurotrophic Factor,Protein Coding,54,GC11M027654,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF
PIK3CG,"Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma",Protein Coding,54,GC07P106865,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG
PITX2,Paired Like Homeodomain 2,Protein Coding,54,GC04M110617,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PITX2
HDAC5,Histone Deacetylase 5,Protein Coding,53,GC17M044076,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC5
HK2,Hexokinase 2,Protein Coding,53,GC02P074796,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HK2
PML,Promyelocytic Leukemia,Protein Coding,52,GC15P073994,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PML
TCF3,Transcription Factor 3,Protein Coding,52,GC19M001609,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF3
TAF1,TATA-Box Binding Protein Associated Factor 1,Protein Coding,52,GC0XP071366,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAF1
CITED2,Cbp/P300 Interacting Transactivator With Glu/Asp Rich Carboxy-Terminal Domain 2,Protein Coding,50,GC06M139316,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CITED2
SALL4,Spalt Like Transcription Factor 4,Protein Coding,50,GC20M051784,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SALL4
LTF,Lactotransferrin,Protein Coding,50,GC03M046435,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF
NCOR1,Nuclear Receptor Corepressor 1,Protein Coding,50,GC17M016029,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCOR1
ID2,Inhibitor Of DNA Binding 2,Protein Coding,50,GC02P008772,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID2
PIAS2,Protein Inhibitor Of Activated STAT 2,Protein Coding,49,GC18M046808,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIAS2
ID3,"Inhibitor Of DNA Binding 3, HLH Protein",Protein Coding,48,GC01M023557,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ID3
TEAD4,TEA Domain Transcription Factor 4,Protein Coding,47,GC12P002959,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEAD4
ADAMTS6,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 6,Protein Coding,46,GC05M065148,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS6
POLR2L,RNA Polymerase II Subunit L,Protein Coding,46,GC11M000829,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLR2L
RFX1,Regulatory Factor X1,Protein Coding,46,GC19M013961,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFX1
NR2C1,Nuclear Receptor Subfamily 2 Group C Member 1,Protein Coding,45,GC12M095022,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR2C1
IPMK,Inositol Polyphosphate Multikinase,Protein Coding,44,GC10M058191,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPMK
RFXAP,Regulatory Factor X Associated Protein,Protein Coding,44,GC13P036819,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFXAP
HESX1,HESX Homeobox 1,Protein Coding,44,GC03M057207,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HESX1
TEF,"TEF, PAR BZIP Transcription Factor",Protein Coding,44,GC22P041367,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEF
LHX9,LIM Homeobox 9,Protein Coding,42,GC01P197881,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHX9
JOSD1,Josephin Domain Containing 1,Protein Coding,41,GC22M038685,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JOSD1
ZNF461,Zinc Finger Protein 461,Protein Coding,41,GC19M038875,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF461
IFNL1,Interferon Lambda 1,Protein Coding,40,GC19P039296,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL1
IFNL2,Interferon Lambda 2,Protein Coding,40,GC19P039268,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL2
IFNL3,Interferon Lambda 3,Protein Coding,40,GC19M039243,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNL3
SOX15,SRY-Box 15,Protein Coding,40,GC17M007589,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX15
CCN3,Cellular Communication Network Factor 3,Protein Coding,39,GC08P119416,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN3
HES3,Hes Family BHLH Transcription Factor 3,Protein Coding,36,GC01P006244,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HES3
KIAA1257,KIAA1257,Protein Coding,35,GC03M128939,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIAA1257
MIR23A,MicroRNA 23a,RNA Gene,21,GC19M013932,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23A
MIR23B,MicroRNA 23b,RNA Gene,20,GC09P095085,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR23B
LOC110599580,CYP1B1 Promoter,Uncategorized,3,GC02U904495,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110599580
LOC110599585,CYP2E1 5' Regulatory Region,Uncategorized,3,GC10U902740,0.65,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110599585
LGR6,Leucine Rich Repeat Containing G Protein-Coupled Receptor 6,Protein Coding,47,GC01P202163,0.57,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGR6
LDLR,Low Density Lipoprotein Receptor,Protein Coding,57,GC19P011061,0.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LDLR
FST,Follistatin,Protein Coding,52,GC05P053480,0.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FST
VIP,Vasoactive Intestinal Peptide,Protein Coding,50,GC06P152750,0.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIP
CAMK1,Calcium/Calmodulin Dependent Protein Kinase I,Protein Coding,49,GC03M009774,0.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK1
ACBD3,Acyl-CoA Binding Domain Containing 3,Protein Coding,43,GC01M226144,0.54,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACBD3
KCNJ5,Potassium Voltage-Gated Channel Subfamily J Member 5,Protein Coding,54,GC11P128891,0.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ5
FGF2,Fibroblast Growth Factor 2,Protein Coding,54,GC04P122826,0.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF2
ADCYAP1,Adenylate Cyclase Activating Polypeptide 1,Protein Coding,47,GC18P000895,0.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1
AKAP1,A-Kinase Anchoring Protein 1,Protein Coding,46,GC17P057085,0.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP1
PROKR1,Prokineticin Receptor 1,Protein Coding,44,GC02P068643,0.5,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROKR1
PTPN11,"Protein Tyrosine Phosphatase, Non-Receptor Type 11",Protein Coding,58,GC12P112418,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN11
GJA1,Gap Junction Protein Alpha 1,Protein Coding,57,GC06P121436,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA1
TGFA,Transforming Growth Factor Alpha,Protein Coding,53,GC02M070410,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFA
HMGCR,3-Hydroxy-3-Methylglutaryl-CoA Reductase,Protein Coding,52,GC05P075336,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGCR
MRAP,Melanocortin 2 Receptor Accessory Protein,Protein Coding,43,GC21P032291,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRAP
CCDC80,Coiled-Coil Domain Containing 80,Protein Coding,42,GC03M112604,0.47,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCDC80
ATR,ATR Serine/Threonine Kinase,Protein Coding,58,GC03M142449,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATR
PIN1,"Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1",Protein Coding,53,GC19P009835,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIN1
AFP,Alpha Fetoprotein,Protein Coding,52,GC04P073431,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFP
AVP,Arginine Vasopressin,Protein Coding,52,GC20M003082,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AVP
ATF2,Activating Transcription Factor 2,Protein Coding,52,GC02M175072,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATF2
HELLS,"Helicase, Lymphoid Specific",Protein Coding,52,GC10P094501,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HELLS
NOG,Noggin,Protein Coding,52,GC17P056593,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOG
TFF1,Trefoil Factor 1,Protein Coding,52,GC21M042362,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF1
E2F1,E2F Transcription Factor 1,Protein Coding,50,GC20M033675,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=E2F1
EXTL3,Exostosin Like Glycosyltransferase 3,Protein Coding,50,GC08P028615,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EXTL3
LMX1B,LIM Homeobox Transcription Factor 1 Beta,Protein Coding,50,GC09P126614,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMX1B
SERPINB6,Serpin Family B Member 6,Protein Coding,50,GC06M002948,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINB6
FGF9,Fibroblast Growth Factor 9,Protein Coding,50,GC13P021671,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF9
TRIM24,Tripartite Motif Containing 24,Protein Coding,50,GC07P138460,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM24
PROX1,Prospero Homeobox 1,Protein Coding,49,GC01P213983,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROX1
SMAD7,SMAD Family Member 7,Protein Coding,49,GC18M048919,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD7
UBC,Ubiquitin C,Protein Coding,49,GC12M124911,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBC
LHX1,LIM Homeobox 1,Protein Coding,48,GC17P036937,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHX1
SMN1,"Survival Of Motor Neuron 1, Telomeric",Protein Coding,48,GC05P070924,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMN1
NR6A1,Nuclear Receptor Subfamily 6 Group A Member 1,Protein Coding,47,GC09M124517,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR6A1
ELP3,Elongator Acetyltransferase Complex Subunit 3,Protein Coding,46,GC08P028006,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELP3
POU2F3,POU Class 2 Homeobox 3,Protein Coding,44,GC11P120236,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2F3
RAD54L2,RAD54 Like 2,Protein Coding,43,GC03P051538,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAD54L2
DNAH8,Dynein Axonemal Heavy Chain 8,Protein Coding,42,GC06P042585,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH8
GPER1,G Protein-Coupled Estrogen Receptor 1,Protein Coding,42,GC07P001122,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPER1
NKX2-8,NK2 Homeobox 8,Protein Coding,42,GC14M036580,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NKX2-8
ANOS1,Anosmin 1,Protein Coding,41,GC0XM008528,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANOS1
ABT1,Activator Of Basal Transcription 1,Protein Coding,39,GC06P027267,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABT1
KRBOX4,KRAB Box Domain Containing 4,Protein Coding,34,GC0XP046446,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRBOX4
TRAPPC2B,Trafficking Protein Particle Complex 2B,Protein Coding,22,GC19P057364,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC2B
MIR320A,MicroRNA 320a,RNA Gene,21,GC08M022245,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR320A
LOC108167315,POMC Promoter Region,Uncategorized,3,GC02U904456,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108167315
LOC111832670,Alpha Fetoprotein (AFP) 5' Regulatory Region,Uncategorized,3,GC04U902770,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111832670
LOC111832671,Albumin (ALB) 5' Regulatory Region,Uncategorized,3,GC04U902769,0.46,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111832671
EDN1,Endothelin 1,Protein Coding,53,GC06P012290,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN1
PPARA,Peroxisome Proliferator Activated Receptor Alpha,Protein Coding,52,GC22P046150,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA
NPY,Neuropeptide Y,Protein Coding,52,GC07P024290,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY
TIMP1,TIMP Metallopeptidase Inhibitor 1,Protein Coding,52,GC0XP047583,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1
GHRL,Ghrelin And Obestatin Prepropeptide,Protein Coding,49,GC03M010285,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL
PROK2,Prokineticin 2,Protein Coding,49,GC03M071820,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROK2
PROKR2,Prokineticin Receptor 2,Protein Coding,48,GC20M005301,0.43,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROKR2
APOE,Apolipoprotein E,Protein Coding,57,GC19P044906,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE
GGT1,Gamma-Glutamyltransferase 1,Protein Coding,55,GC22P024583,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGT1
CAV1,Caveolin 1,Protein Coding,55,GC07P116524,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAV1
RELA,"RELA Proto-Oncogene, NF-KB Subunit",Protein Coding,55,GC11M065671,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
AMHR2,Anti-Mullerian Hormone Receptor Type 2,Protein Coding,53,GC12P053423,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMHR2
PTS,6-Pyruvoyltetrahydropterin Synthase,Protein Coding,53,GC11P112226,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTS
PPARD,Peroxisome Proliferator Activated Receptor Delta,Protein Coding,53,GC06P042518,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARD
LIPC,"Lipase C, Hepatic Type",Protein Coding,52,GC15P058410,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC
IGFBP3,Insulin Like Growth Factor Binding Protein 3,Protein Coding,52,GC07M045912,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP3
SFRP1,Secreted Frizzled Related Protein 1,Protein Coding,50,GC08M041238,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFRP1
IGFBP2,Insulin Like Growth Factor Binding Protein 2,Protein Coding,50,GC02P216632,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP2
ARNTL,Aryl Hydrocarbon Receptor Nuclear Translocator Like,Protein Coding,49,GC11P013276,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARNTL
LIF,"LIF, Interleukin 6 Family Cytokine",Protein Coding,49,GC22M030240,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIF
PLIN2,Perilipin 2,Protein Coding,49,GC09M019077,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN2
JUNB,"JunB Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,48,GC19P012791,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUNB
ASAH2,N-Acylsphingosine Amidohydrolase 2,Protein Coding,48,GC10M050182,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH2
PTP4A2,"Protein Tyrosine Phosphatase Type IVA, Member 2",Protein Coding,47,GC01M031874,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTP4A2
MED1,Mediator Complex Subunit 1,Protein Coding,46,GC17M039404,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED1
PPP1R9B,Protein Phosphatase 1 Regulatory Subunit 9B,Protein Coding,44,GC17M050133,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R9B
PTPA,Protein Phosphatase 2 Phosphatase Activator,Protein Coding,39,GC09P129111,0.38,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPA
BCL2,"BCL2, Apoptosis Regulator",Protein Coding,59,GC18M063123,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL2
GSTP1,Glutathione S-Transferase Pi 1,Protein Coding,58,GC11P067583,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTP1
GLUD1,Glutamate Dehydrogenase 1,Protein Coding,57,GC10M087050,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD1
VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,57,GC06P043770,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
GHSR,Growth Hormone Secretagogue Receptor,Protein Coding,53,GC03M172443,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHSR
BMP2,Bone Morphogenetic Protein 2,Protein Coding,53,GC20P006696,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP2
LIFR,LIF Receptor Alpha,Protein Coding,53,GC05M038475,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR
MCM4,Minichromosome Maintenance Complex Component 4,Protein Coding,53,GC08P047965,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM4
IL4,Interleukin 4,Protein Coding,53,GC05P132673,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4
CRHR1,Corticotropin Releasing Hormone Receptor 1,Protein Coding,52,GC17P045784,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRHR1
PHB,Prohibitin,Protein Coding,52,GC17M049404,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHB
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,52,GC03P119780,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2
AIRE,Autoimmune Regulator,Protein Coding,51,GC21P044285,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AIRE
LAMP2,Lysosomal Associated Membrane Protein 2,Protein Coding,51,GC0XM120426,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMP2
GAL,Galanin And GMAP Prepropeptide,Protein Coding,50,GC11P068701,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAL
IL1A,Interleukin 1 Alpha,Protein Coding,50,GC02M112773,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
GJA4,Gap Junction Protein Alpha 4,Protein Coding,50,GC01P034792,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJA4
HTR4,5-Hydroxytryptamine Receptor 4,Protein Coding,50,GC05M148451,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR4
HLA-B,"Major Histocompatibility Complex, Class I, B",Protein Coding,50,GC06M031277,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B
CYP7A1,Cytochrome P450 Family 7 Subfamily A Member 1,Protein Coding,49,GC08M058476,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP7A1
EMX2,Empty Spiracles Homeobox 2,Protein Coding,49,GC10P117542,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMX2
